DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
2079000                 -85278709.73992732        120361657.1611638         30047.27747119963         -24.91010844611524         -17.14954109091303         -0.000786433679526688      
2106000                 -85950015.73340629        119896791.6637083         30027.02438247949         -24.81613520021049         -17.28486153704059         -0.0007134292341497428     
2133000                 -86618774.22068819        119428278.9148357         30008.77005558461         -24.72140413774869         -17.41970675985017         -0.0006384505159129361     
2160000                 -87284964.7306006         118956131.8355918         29992.56194437295         -24.62591457024599         -17.55407006697192         -0.000561927843787835      
2187000                 -87948566.77836524        118480363.5294461         29978.43614243716         -24.52966617725645         -17.6879446465121          -0.0004842722335753891     
2214000                 -88609559.87531169        118000987.2849348         29966.41791473329         -24.43265898746406         -17.82132360800956         -0.000405874732356537      
2241000                 -89267923.53803515        117518016.5772872         29956.52223899961         -24.33489335665643         -17.954200016702           -0.0003271063380605455     
2268000                 -89923637.29685527        117031465.0692721         29948.75434278697         -24.23636994388451         -18.08656692133672         -0.0002483183914527842     
2295000                 -90576680.70372669        116541346.611296          29943.1102245003          -24.13708968688024         -18.2184173759762          -0.0001698433345529438     
2322000                 -91227033.33940981        116047675.2410449         29939.57715055347         -24.03705377766673         -18.34974445628397         -9.19957385843162e-05      
2349000                 -91874674.8199942         115550465.1827545         29938.13412165642         -23.93626363907782         -18.48054127089132         -1.507351512231026e-05     
2376000                 -92519584.802875          115049730.8461811         29938.75230504572         -23.83472090274213         -18.61080096847214         6.064076474121549e-05      
2403000                 -93161742.99208385        114545486.8254905         29941.39543033391         -23.73242738897816         -18.74051674111214         0.0001348785076693559      
2430000                 -93801129.14314427        114037747.8980697         29946.02014852315         -23.62938508888696         -18.86968182459262         0.0002073837459679595      
2457000                 -94437723.06746787        113526529.0233726         29952.57635529339         -23.52559614885276         -18.9982894961498          0.0002779118411417869      
2484000                 -95071504.63636614        113011845.3418537         29961.00748033822         -23.4210628575718          -19.12633307024457         0.0003462282798967209      
2511000                 -95702453.78473945        112493712.1740438         29971.25074585527         -23.31578763566523         -19.25380589283735         0.0004121075923606554      
2538000                 -96330550.51455723        111972145.0197642         29983.23739774525         -23.20977302786984         -19.3807013346342          0.0004753324160819972      
2565000                 -96955774.89808841        111447159.5575942         29996.8929136768          -23.10302169778247         -19.50701278370365         0.0005356927241670917      
2592000                 -97578107.0810895         110918771.6444863         30012.13719275594         -22.99553642505639         -19.63273363787922         0.000592985231444132       
2619000                 -98197527.2859485         110386997.3155855         30028.88473159075         -22.88732010495171         -19.75785729729074         0.0006470129884146303      
2646000                 -98814015.81477493        109851852.7843068         30047.04479212314         -22.7783757501167          -19.88237715733774         0.0006975851694344115      
2673000                 -99427553.05267406        109313354.4425            30066.52156624943         -22.66870649440789         -20.00628660244203         0.0007445170579973848      
2700000                 -100038119.4710353        108771518.8608688         30087.21434282512         -22.55831559860384         -20.12957900081041         0.0007876302290936721      
2727000                 -100645695.631105         108226362.7894212         30109.01768219471         -22.44720645776577         -20.25224770050161         0.0008267529253256356      
2754000                 -101250262.1876996        107677903.1580752         30131.82160340995         -22.33538261004799         -20.37428602698324         0.0008617206203869188      
2781000                 -101851799.8932086        107126157.0772768         30155.51178905368         -22.22284774668552         -20.49568728239574         0.0008923767603157273      
2808000                 -102450289.6018734        106571141.8386181         30179.96981242299         -22.10960572289347         -20.61644474667716         0.0009185736697201463      
2835000                 -103045712.2743687        106012874.9154005         30205.07339115441         -21.99566056938507         -20.73655168067733         0.0009401736068541666      
2862000                 -103638048.982701         105451373.9630836         30230.69667112827         -21.88101650420126         -20.85600133134954         0.0009570499482665085      
2889000                 -104227280.9154191        104886656.8195738         30256.71054395288         -21.76567794453525         -20.97478693906398         0.0009690884807991296      
2916000                 -104813389.3831748        104318741.5052528         30282.98300041258         -21.64964951822076         -21.09290174705117         0.0009761887758390486      
2943000                 -105396355.8245179        103747646.222789          30309.37952179462         -21.53293607458335         -21.21033901290656         0.0009782656185572947      
2970000                 -105976161.8120323        103173389.3565522         30335.76351040602         -21.41554269431826         -21.32709202208651         0.0009752504631750369      
2997000                 -106552789.0587165        102595989.4716449         30361.99675914645         -21.29747469811591         -21.4431541032372          0.0009670928841565285      
3024000                 -107126219.4245495        102015465.3125237         30387.93996008486         -21.1787376537747          -21.55851864516447         0.0009537619933714936      
3051000                 -107696434.9232189        101431835.8011502         30413.45325037837         -21.05933738156861         -21.67317911522053         0.0009352477937154546      
3078000                 -108263417.7290294        100845120.034568          30438.39679359645         -20.93927995767088         -21.78712907886106         0.0009115624417237456      
3105000                 -108827150.1838078        100255337.2820068         30462.63139368594         -20.81857171552479         -21.90036222006441         0.0008827413941698836      
3132000                 -109387614.8038508        99662506.98139273         30486.01913797855         -20.69721924505929         -22.01287236233846         0.0008488444173462284      
3159000                 -109944794.2868149        99066648.73529443         30508.42406547815         -20.57522938973083         -22.12465349001236         0.0008099564418078131      
3186000                 -110498671.5184974        98467782.30629261         30529.71285598725         -20.45260924141617         -22.23569976953253         0.0007661882502212336      
3213000                 -111049229.5794451        97865927.61178528         30549.7555353865          -20.32936613323227         -22.34600557050394         0.0007176769909538194      
3240000                 -111596451.7513739        97261104.7181953          30568.42619249225         -20.20550763038925         -22.45556548626181         0.0006645865148371399      
3267000                 -112140321.5232473        96653333.8347085          30585.60370261222         -20.08104151924447         -22.56437435377542         0.0006071075373395019      
3294000                 -112680822.5971306        96042635.3063789          30601.17245315015         -19.95597579468158         -22.67242727278921         0.0005454576320076399      
3321000                 -113217938.8935843        95429029.60684195         30615.02306687832         -19.83031864602319         -22.77971962408714         0.0004798810641872819      
3348000                 -113751654.5567518        94812537.33043975         30627.0531186536          -19.70407844158277         -22.88624708689722         0.000410648475494213       
3375000                 -114281953.9589451        94193179.18396637         30637.16784183681         -19.57726371201545         -22.99200565542792         0.0003380564298804956      
3402000                 -114808821.7047966        93570975.97794202         30645.28082049638         -19.44988313252356         -23.09699165461961         0.0002624268306803401      
3429000                 -115332242.6349092        92945948.61747868         30651.31466439366         -19.32194550395791         -23.20120175518364         0.0001841062145864214      
3456000                 -115852201.8289804        92318118.09274785         30655.20166321844         -19.19345973272565         -23.30463298807799         0.0001034649297544377      
3483000                 -116368684.6083676        91687505.46906529         30656.88441686705         -19.06443480951175         -23.40728275836373         2.089617889389217e-05      
3510000                 -116881676.5380602        91054131.87660773         30656.3164382875          -18.9348797864854          -23.50914885867483         -6.31850634995601e-05      
3537000                 -117391163.4280068        90418018.49977943         30653.46272484586         -18.80480375283425         -23.61022948218642         -0.0001483432908955251     
3564000                 -117897131.3337867        89779186.56619929         30648.30029400066         -18.67421580831069         -23.71052323501062         -0.0002341238874326024     
3591000                 -118399566.5564706        89137657.33544421         30640.81867768616         -18.54312503446573         -23.8100291478249          -0.0003200547674140353     
3618000                 -118898455.6417525        88493452.08738849         30631.02036888897         -18.4115404631848          -23.90874668644926         -0.0004056482740359968     
3645000                 -119393785.3781267        87846592.11035836         30618.92121318728         -18.27947104223472         -24.00667576089231         -0.0004904033852071166     
3672000                 -119885542.7941209        87197098.68903241         30604.5507356897          -18.14692559752529         -24.10381673228821         -0.0005738082773643072     
3699000                 -120373715.1544581        86544993.09219866         30587.95239369944         -18.01391279192276         -24.20017041697458         -0.0006553432978826379     
3726000                 -120858289.9550589        85890296.56045006         30569.18374278024         -17.88044108058768         -24.29573808683525         -0.0007344843922183486     
3753000                 -121339254.9167928        85233030.29393208         30548.31650385633         -17.74651866300567         -24.39052146492002         -0.0008107070224845359     
3780000                 -121816597.9778947        84573215.44028404         30525.43651768193         -17.61215343212018         -24.48452271528267         -0.0008834905994241638     
3807000                 -122290307.2849698        83910873.0829531          30500.64357247949         -17.4773529212559          -24.57774442596135         -0.0009523234288852933     
3834000                 -122760371.1825741        83246024.23003286         30474.05109155178         -17.34212424981737         -24.67018958408613         -0.001016708147933088      
3861000                 -123226778.2012671        82578689.80397604         30445.78566785902         -17.20647406909858         -24.76186154221459         -0.001076167594064259      
3888000                 -123689517.0442962        81908890.63223328         30415.98643551767         -17.07040850977709         -24.85276397526797         -0.0011302510164235        
3915000                 -124148576.5728475        81236647.43927139         30384.80427019671         -16.93393313300973         -24.94290082771465         -0.001178540500930581      
3942000                 -124603945.7900755        80561980.84010984         30352.40081501752         -16.79705288717447         -25.03227625110806         -0.001220657445397677      
3969000                 -125055613.824059         79884911.3356757          30318.94733313471         -16.65977207243034         -25.12089453255266         -0.001256268888981893      
3996000                 -125503569.9099311        79205459.31020062         30284.62339382246         -16.52209431522072         -25.20876001521984         -0.00128509347564254       
4023000                 -125947803.3714757        78523645.03085293         30249.61540512368         -16.3840225546642          -25.29587701258652         -0.00130690681754686       
4050000                 -126388303.6025316        77839488.64975394         30214.11501241475         -16.24555904244015         -25.38224971858801         -0.001321546024188436      
4077000                 -126825060.0486139        77153010.20840608         30178.31738848612         -16.10670535727748         -25.4678821163247          -0.001328913178239688      
4104000                 -127258062.1890745        76464229.64466047         30142.41944609955         -15.9674624345757          -25.55277788825364         -0.001328977570677736      
4131000                 -127687299.5203357        75773166.80194251         30106.61800862104         -15.82783061091699         -25.63694033098206         -0.001321776554574328      
4158000                 -128112761.540462         75079841.44076967         30071.10797721893         -15.68780968257027         -25.72037227768828         -0.001307414935961759      
4185000                 -128534437.7355073        74384273.25218867         30036.08053452894         -15.54739897629852         -25.80307603098384         -0.001286062888539163      
4212000                 -128952317.5679094        73686481.87286551         30001.72142390534         -15.40659743018603         -25.88505330857278         -0.001257952449659427      
4239000                 -129366390.4671721        72986486.90144926         29968.20934119076         -15.26540368168351         -25.96630520347253         -0.001223372724087568      
4266000                 -129776645.8229859        72284307.91580056         29935.71447127312         -15.12381615975548         -26.04683215984791         -0.001182663982499221      
4293000                 -130183072.9808521        71579964.490666           29904.39719640091         -14.981833177894           -26.12663396474508         -0.001136210889441713      
4320000                 -130585661.2402166        70873476.21532445         29874.40699604899         -14.83945302483757         -26.20570975526273         -0.001084435127140182      
4347000                 -130984399.8549386        70164862.710934           29845.8815510124          -14.69667405014642         -26.2840580399877          -0.001027787695081273      
4374000                 -131379278.0360377        69454143.64701138         29818.94605661556         -14.55349474214693         -26.3616767329876          -0.0009667411611484766     
4401000                 -131770284.9563686        68741338.75693852         29793.71274291724         -14.40991379637948         -26.43856319818212         -0.0009017821201222631     
4428000                 -132157409.757024         68026467.85211679         29770.28059318289         -14.26593017321607         -26.51471430169353         -0.0008334040821811328     
4455000                 -132540641.5551338        67309550.83463647         29748.73524647951         -14.12154314395513         -26.59012646966412         -0.0007621009722260652     
4482000                 -132919969.4527504        66590607.70833902         29729.1490659602          -13.97675232526118         -26.6647957490906          -0.0006883613739638861     
4509000                 -133295382.5465076        65869658.5882304          29711.58135149628         -13.83155770232394         -26.7387178694054          -0.0006126636047358858     
4536000                 -133666869.9377802        65146723.70820249         29696.0786735788          -13.68595964150566         -26.811888302816           -0.0005354716619692113     
